transaction_id,gl_account,amount,period,entity,business_unit,project
current_year-4000-P01-1,4000,230000.00,1,FIRM,CONSULTING,
current_year-4100-P01-1,4100,45000.00,1,FIRM,CONSULTING,
current_year-5000-P01-1,5000,-10000.00,1,FIRM,CONSULTING,
current_year-5100-P01-1,5100,-8000.00,1,FIRM,CONSULTING,
current_year-5200-P01-1,5200,-7000.00,1,FIRM,CONSULTING,
current_year-5300-P01-1,5300,-5000.00,1,FIRM,CONSULTING,
current_year-6000-P01-1,6000,-120000.00,1,FIRM,CONSULTING,
current_year-6100-P01-1,6100,-15000.00,1,FIRM,CONSULTING,
current_year-6200-P01-1,6200,-25000.00,1,FIRM,CONSULTING,
current_year-6300-P01-1,6300,-8000.00,1,FIRM,CONSULTING,
current_year-7000-P01-1,7000,-18000.00,1,FIRM,CONSULTING,
current_year-7100-P01-1,7100,-3000.00,1,FIRM,CONSULTING,
current_year-7200-P01-1,7200,-6000.00,1,FIRM,CONSULTING,
current_year-7300-P01-1,7300,-12000.00,1,FIRM,CONSULTING,
current_year-8000-P01-1,8000,-5000.00,1,FIRM,CONSULTING,
current_year-8100-P01-1,8100,-1500.00,1,FIRM,CONSULTING,
current_year-8200-P01-1,8200,-8000.00,1,FIRM,CONSULTING,
current_year-4000-P02-1,4000,230000.00,2,FIRM,CONSULTING,
current_year-4100-P02-1,4100,45000.00,2,FIRM,CONSULTING,
current_year-5000-P02-1,5000,-10000.00,2,FIRM,CONSULTING,
current_year-5100-P02-1,5100,-8000.00,2,FIRM,CONSULTING,
current_year-5200-P02-1,5200,-7000.00,2,FIRM,CONSULTING,
current_year-5300-P02-1,5300,-5000.00,2,FIRM,CONSULTING,
current_year-6000-P02-1,6000,-120000.00,2,FIRM,CONSULTING,
current_year-6100-P02-1,6100,-15000.00,2,FIRM,CONSULTING,
current_year-6200-P02-1,6200,-25000.00,2,FIRM,CONSULTING,
current_year-6300-P02-1,6300,-8000.00,2,FIRM,CONSULTING,
current_year-7000-P02-1,7000,-18000.00,2,FIRM,CONSULTING,
current_year-7100-P02-1,7100,-3000.00,2,FIRM,CONSULTING,
current_year-7200-P02-1,7200,-6000.00,2,FIRM,CONSULTING,
current_year-7300-P02-1,7300,-12000.00,2,FIRM,CONSULTING,
current_year-8000-P02-1,8000,-5000.00,2,FIRM,CONSULTING,
current_year-8100-P02-1,8100,-1500.00,2,FIRM,CONSULTING,
current_year-8200-P02-1,8200,-8000.00,2,FIRM,CONSULTING,
current_year-4000-P03-1,4000,230000.00,3,FIRM,CONSULTING,
current_year-4100-P03-1,4100,45000.00,3,FIRM,CONSULTING,
current_year-5000-P03-1,5000,-10000.00,3,FIRM,CONSULTING,
current_year-5100-P03-1,5100,-8000.00,3,FIRM,CONSULTING,
current_year-5200-P03-1,5200,-7000.00,3,FIRM,CONSULTING,
current_year-5300-P03-1,5300,-5000.00,3,FIRM,CONSULTING,
current_year-6000-P03-1,6000,-120000.00,3,FIRM,CONSULTING,
current_year-6100-P03-1,6100,-15000.00,3,FIRM,CONSULTING,
